,cat_id,counts
0,1000000237,245
1,1000000239,39
2,1000000243,83
3,1000000245,43
4,1000000249,5757
5,1000000251,2636
6,1000000253,679
7,1000000271,62
8,1000000273,136
9,1000000277,226
10,1000000280,127
11,1000000282,135
12,1000000285,801
13,1000000287,45
14,1000000289,360
15,1000000291,358
16,1000000293,499
17,1000000295,218
18,1000000297,479
19,1000000300,219
20,1000000302,75
21,1000000304,180
22,1000000306,47
23,1000000345,508
24,1000000347,79
25,1000000349,260
26,1000000351,1896
27,1000000355,106
28,1000000357,233
29,1000000359,175
30,1000000364,6757
31,1000000366,2896
32,1000000368,2158
33,1000000370,212
34,1000000372,748
35,1000000373,2195
36,1000000377,178
37,1000000379,74
38,1000000381,733
39,1000000383,292
40,1000000387,81
41,1000000389,1156
42,1000000397,1917
43,1000000401,360
44,1000000405,118
45,1000000407,129
46,1000000409,185
47,1000000411,914
48,1000000414,164
49,1000000416,855
50,1000000418,255
51,1000000420,3154
52,1000000422,9488
53,1000000424,3997
54,1000000426,242
55,1000000428,4931
56,1000000431,118
57,1000000433,2057
58,1000000435,659
59,1000000439,35
60,1000000441,87
61,1000000443,47
62,1000000445,107
63,1000000447,557
64,1000000451,652
65,1000000457,2838
66,1000000459,372
67,1000000461,214
68,1000000464,57
69,1000000466,118
70,1000000468,468
71,1000000470,95
72,1000000472,824
73,1000000476,42
74,1000000478,1772
75,1000000480,435
76,1000000483,660
77,1000000485,251
78,1000000487,255
79,1000000489,214
80,1000000491,327
81,1000000495,175
82,1000000497,78
83,1000000499,333
84,1000000501,1284
85,1000000504,367
86,1000000506,792
87,1000000508,495
88,1000000510,184
89,1000000512,282
90,1000000514,331
91,1000000516,1773
92,1000000518,182
93,1000000520,2647
94,1000000522,17
95,1000000524,86
96,1000000526,4549
97,1000000528,202
98,1000000530,102
99,1000000532,2825
100,1000000534,1167
101,1000000536,341
102,1000000538,883
103,1000000540,982
104,1000000542,102
105,1000000544,185
106,1000000546,19
107,1000000548,1498
108,1000000552,1120
109,1000000555,402
110,1000000557,760
111,1000000559,887
112,1000000561,196
113,1000000563,93
114,1000000566,483
115,1000000568,795
116,1000000569,460
117,1000000572,401
118,1000000574,396
119,1000000576,1257
120,1000000580,821
121,1000000582,277
122,1000000584,227
123,1000000587,195
124,1000000589,1482
125,1000000591,3355
126,1000000593,383
127,1000000595,320
128,1000000601,508
129,1000000605,253
130,1000000607,113
131,1000000612,88
132,1000000614,105
133,1000000616,171
134,1000000618,38
135,1000000622,259
136,1000000624,294
137,1000000630,406
138,1000000636,26
139,1000000638,2611
140,1000000643,321
141,1000000647,89
142,1000000654,211
143,1000000662,1584
144,1000000664,400
145,1000000671,355
146,1000000673,224
147,1000000677,270
148,1000000679,172
149,1000000681,1210
150,1000000683,37
151,1000000685,326
152,1000000687,237
153,1000000695,126
154,1000000700,478
155,1000000702,34
156,1000000704,249
157,1000000710,142
158,1000000715,606
159,1000000717,157
160,1000000721,75
161,1000000724,425
162,1000000726,297
163,1000000730,79
164,1000000732,54
165,1000000737,180
166,1000000739,339
167,1000000741,113
168,1000000743,159
169,1000000751,62
170,1000000753,2061
171,1000000757,1102
172,1000000761,167
173,1000000763,300
174,1000000769,359
175,1000000793,125
176,1000000795,82
177,1000000799,445
178,1000000802,4363
179,1000000804,1821
180,1000000816,1041
181,1000000818,500
182,1000000822,449
183,1000000828,328
184,1000000830,468
185,1000000846,42
186,1000000849,329
187,1000000851,309
188,1000000856,103
189,1000000857,70
190,1000000863,62
191,1000000864,28
192,1000000869,119
193,1000000874,645
194,1000000876,140
195,1000000878,139
196,1000000884,90
197,1000000887,260
198,1000000893,18
199,1000000896,17
200,1000000966,479
201,1000000968,37
202,1000001132,38
203,1000001141,285
204,1000001143,105
205,1000001163,117
206,1000001167,160
207,1000001172,72
208,1000001176,30
209,1000001182,124
210,1000001233,122
211,1000001240,365
212,1000001252,464
213,1000001254,898
214,1000001256,3525
215,1000001258,3349
216,1000001260,3032
217,1000001266,810
218,1000001273,292
219,1000001275,72
220,1000001277,249
221,1000001280,466
222,1000001282,359
223,1000001284,1989
224,1000001286,387
225,1000001288,585
226,1000001290,630
227,1000001292,3164
228,1000001294,2223
229,1000001296,351
230,1000001299,47
231,1000001303,34
232,1000001305,321
233,1000001361,35
234,1000001381,174
235,1000001388,26
236,1000001393,1078
237,1000001395,302
238,1000001398,1329
239,1000001401,733
240,1000001406,670
241,1000001409,169
242,1000001412,92
243,1000001415,42
244,1000001417,62
245,1000001423,102
246,1000001429,64
247,1000001431,26
248,1000001436,359
249,1000001446,55
250,1000001503,44
251,1000001505,106
252,1000001513,63
253,1000001515,204
254,1000001531,131
255,1000001533,21
256,1000001535,282
257,1000001546,20
258,1000001564,47
259,1000001575,257
260,1000001579,305
261,1000001585,3011
262,1000001589,1129
263,1000001591,413
264,1000001637,79
265,1000001703,25005
266,1000001704,3134
267,1000001705,3121
268,1000001709,3944
269,1000001716,30
270,1000001721,213
271,1000001723,4385
272,1000001725,10809
273,1000001727,11963
274,1000001729,15421
275,1000001731,106
276,1000001733,2424
277,1000001735,7182
278,1000001737,5346
279,1000001739,3208
280,1000001741,266
