category_id,category_level1,category_level2,category_level3,counts
1000018296,MUSIQUE,CD,CD POP ROCK - CD ROCK INDE,79640
1000011423,INFORMATIQUE,IMPRESSION - SCANNER,TONER - RECUPERATEUR DE TONER,71116
1000011427,INFORMATIQUE,IMPRESSION - SCANNER,CARTOUCHE IMPRIMANTE,69784
1000014202,LIBRAIRIE,LITTERATURE,LITTERATURE FRANCAISE,65642
1000015309,LIBRAIRIE,AUTRES LIVRES,AUTRES LIVRES,65435
1000004085,INFORMATIQUE,CONNECTIQUE - ALIMENTATION,BATTERIE D'ALIMENTATION INFORMATIQUE,61942
1000010653,TELEPHONIE - GPS,ACCESSOIRE TELEPHONE,COQUE TELEPHONE - BUMPER TELEPHONE,61688
1000018290,MUSIQUE,CD,CD MUSIQUE CLASSIQUE,60332
1000018294,MUSIQUE,CD,CD MUSIQUE DU MONDE,57748
1000008094,INFORMATIQUE,COMPOSANT - PIECE DETACHEE,DALLE D'ECRAN,56192
1000004079,INFORMATIQUE,CONNECTIQUE - ALIMENTATION,CHARGEUR - ADAPTATEUR SECTEUR - ALLUME CIGARE - SOLAIRE,55656
1000005509,AUTO - MOTO,CONFORT CONDUCTEUR ET PASSAGER,PERSONNALISATION VEHICULE - DECORATION VEHICULE,51332
1000015912,INFORMATIQUE,COMPOSANT - PIECE DETACHEE,CLAVIER (PIECE DETACHEE),49780
1000010635,TELEPHONIE - GPS,ACCESSOIRE TELEPHONE,BATTERIE TELEPHONE,48488
1000011349,TELEPHONIE - GPS,ACCESSOIRE TELEPHONE,PACK ACCESSOIRES,47691
1000010683,TELEPHONIE - GPS,ACCESSOIRE TELEPHONE,STYLET TELEPHONE - STYLO POUR TELEPHONE,45756
1000018286,MUSIQUE,CD,CD JAZZ BLUES,45353
1000012991,DECO - LINGE - LUMINAIRE,DECORATION MURALE - TABLEAU - CADRE PHOTO - STICKER,AFFICHE,44647
1000003796,ELECTROMENAGER,GROS APPAREILS DE CUISSON,ACCESSOIRES GROS APPAREILS DE CUISSON - PIECES GROS APPAREILS DE CUISSON,44502
1000010647,TELEPHONIE - GPS,ACCESSOIRE TELEPHONE,CHARGEUR TELEPHONE - ADAPTATEUR ALIMENTATION TELEPHONE,44332
1000012993,DECO - LINGE - LUMINAIRE,DECORATION MURALE - TABLEAU - CADRE PHOTO - STICKER,STICKERS - LETTRES ADHESIVES,43368
1000010170,BIJOUX -  LUNETTES - MONTRES,MONTRES,MONTRE BRACELET,41933
1000004141,INFORMATIQUE,PROTECTION - PERSONNALISATION - SUPPORT,COQUE - HOUSSE,41812
1000018246,DVD - BLU-RAY,DVD,DVD FILM,40546
1000005956,AUTO - MOTO,PIECES,PHARES - FEUX - REPETITEUR LATERAL - CLIGNOTANTS - CENTRALE CLIGNOTANTE -  BLOC FEU ARRIERE - OPTIQUE DE PHARE - ECLAIRAGE DE PL,40407
1000010100,BIJOUX -  LUNETTES - MONTRES,BIJOUX,BAGUE - ANNEAU,39988
1000010108,BIJOUX -  LUNETTES - MONTRES,BIJOUX,BOUCLE D OREILLE,39932
1000002328,ART DE LA TABLE - ARTICLES CULINAIRES,SERVICE DE TABLE,DESSOUS DE VERRE - DESSOUS DE BOUTEILLE,39377
1000010722,PHOTO - OPTIQUE,ACCESSOIRES PHOTO - OPTIQUE,BATTERIE PHOTO - BATTERIE CAMERA - BATTERIE CAMESCOPE,39361
1000010110,BIJOUX -  LUNETTES - MONTRES,BIJOUX,BRACELET - GOURMETTE,39306
1000010661,TELEPHONIE - GPS,ACCESSOIRE TELEPHONE,FILM DE PROTECTION TELEPHONE,39108
1000010128,BIJOUX -  LUNETTES - MONTRES,BIJOUX,PENDENTIF VENDU SEUL,38769
1000012989,DECO - LINGE - LUMINAIRE,DECORATION MURALE - TABLEAU - CADRE PHOTO - STICKER,TABLEAU - TOILE,38423
1000010641,TELEPHONIE - GPS,ACCESSOIRE TELEPHONE,CABLE TELEPHONE - CONNECTIQUE TELEPHONE,37971
1000010136,BIJOUX -  LUNETTES - MONTRES,BIJOUX,SAUTOIR - COLLIER,36603
1000003787,ELECTROMENAGER,GROS APPAREILS LAVAGE-SECHAGE,ACCESSOIRES LAVAGE-SECHAGE - PIECES LAVAGE-SECHAGE,33940
1000005920,AUTO - MOTO,PIECES,KIT CHAINE - CHAINE - ATTACHE RAPIDE - COURONNE - PIGNON - COURROIE DE TRANSMISSION,31592
1000010645,TELEPHONIE - GPS,ACCESSOIRE TELEPHONE,CASQUE - ECOUTEUR FILAIRE - OREILLETTE BLUETOOTH - KIT PIETON TELEPHONE,30857
1000005960,AUTO - MOTO,PIECES,PLAQUETTES DE FREIN,30163
1000010663,TELEPHONIE - GPS,ACCESSOIRE TELEPHONE,FIXATION TELEPHONE - SUPPORT TELEPHONE,28996
1000005910,AUTO - MOTO,PIECES,KIT CARROSSERIE - BAS DE CAISSE - AILERON - SPOILER - BECQUET - LAME - PARECHOC - CALANDRE - ELARGISSEUR D'AILE,28882
1000010667,TELEPHONIE - GPS,ACCESSOIRE TELEPHONE,HOUSSE - ETUI - CHAUSSETTE,28408
1000005874,AUTO - MOTO,PIECES,FILTRE A AIR,27942
1000010726,PHOTO - OPTIQUE,ACCESSOIRES PHOTO - OPTIQUE,CHARGEUR - ADAPTATEUR - ALIMENTATION PHOTO - OPTIQUE,27445
1000013129,AUTO - MOTO,PNEUS,PNEUS,27352
1000011046,TV - VIDEO - SON,VIDEOPROJECTION,LAMPE VIDEOPROJECTEUR - OPTIQUE VIDEOPROJECTEUR,26879
1000010151,BIJOUX -  LUNETTES - MONTRES,LUNETTES,LUNETTES DE SOLEIL,26105
1000010538,CHAUSSURES - ACCESSOIRES,BASKET - SPORTSWEAR,BASKET,25912
1000010061,BAGAGERIE,MAROQUINERIE,SAC A MAIN,25867
1000012965,DECO - LINGE - LUMINAIRE,HORLOGE - REVEIL,HORLOGE,25745
1000020845,TV - VIDEO - SON,PROTECTION - ENTRETIEN,COQUE LECTEUR MP3 - BUMPER LECTEUR MP3 - HOUSSE LECTEUR MP3,25121
1000003983,HYGIENE - BEAUTE - PARFUM,CAPILLAIRE,PERRUQUE - POSTICHE - FAUX CHEVEUX - EXTENSIONS - COLLE CHEVEUX,24949
1000004184,INFORMATIQUE,ORDINATEUR DE BUREAU,UNITE CENTRALE + ECRAN,24834
1000003977,INFORMATIQUE,COMPOSANT - PIECE DETACHEE,REFROIDISSEMENT - VENTILATION - WATERCOOLING,24761
1000008782,JEUX - JOUETS,DEGUISEMENT - SPECTACLE,DEGUISEMENT - PANOPLIE DE DEGUISEMENT,24672
1000008925,JEUX - JOUETS,MONDE MINIATURE,FIGURINE MINIATURE - PERSONNAGE MINIATURE,24562
1000021533,TELEPHONIE - GPS,MONTRE INTELLIGENTE - MONTRE CONNECTEE,MONTRE BLUETOOTH - MONTRE CONNECTEE - MONTRE INTELLIGENTE,23994
1000001831,DECO - LINGE - LUMINAIRE,DECORATION DU SOL,TAPIS - DESSOUS DE TAPIS,23752
1000001851,DECO - LINGE - LUMINAIRE,LUMINAIRE D'INTERIEUR,AMPOULE - AMPOULE LED - AMPOULE HALOGENE,23233
1000004181,INFORMATIQUE,ORDINATEUR DE BUREAU,UNITE CENTRALE SEULE - MINI PC,22945
1000018284,MUSIQUE,CD,CD HARD ROCK - CD METAL,22481
1000003813,ELECTROMENAGER,GROS APPAREILS FROID,ACCESSOIRES FROID - PIECES FROID,22425
1000018298,MUSIQUE,CD,CD RAP - CD HIP HOP,22422
1000014047,LIBRAIRIE,BANDE DESSINEE - MANGA - HUMOUR,BANDE DESSINEE ,22416
1000021535,TELEPHONIE - GPS,MONTRE INTELLIGENTE - MONTRE CONNECTEE,HOUSSE MONTRE CONNECTEE - ETUI MONTRE CONNECTEE - COQUE MONTRE CONNECTEE,21649
1000004056,INFORMATIQUE,CONNECTIQUE - ALIMENTATION,CABLE - ADAPTATEUR RESEAU - TELEPHONIE,21502
1000014199,LIBRAIRIE,LITTERATURE,LITTERATURE ETRANGERE,21184
1000010055,BAGAGERIE,MAROQUINERIE,SAC A DOS,21168
1000007804,HYGIENE - BEAUTE - PARFUM,MAQUILLAGE VISAGE - CORPS,MIROIR DE POCHE ,21120
1000005531,AUTO - MOTO,CONFORT CONDUCTEUR ET PASSAGER,TAPIS DE SOL,20964
1000010906,TV - VIDEO - SON,ACCESSOIRES TV - VIDEO - SON,CABLE - CONNECTIQUE TV - VIDEO - SON,20908
1000018306,MUSIQUE,CD,CD VARIETE INTERNATIONALE,20621
1000012558,ARTICLES POUR FUMEUR,CIGARETTE ELECTRONIQUE,LIQUIDE POUR CIGARETTE ELECTRONIQUE,20581
1000014252,LIBRAIRIE,RELIGION- SPIRITUALITE,RELIGION,20245
1000003191,BRICOLAGE - OUTILLAGE - QUINCAILLERIE,MACHINE OUTIL,BATTERIE POUR MACHINE OUTIL,20224
1000004153,INFORMATIQUE,PROTECTION - PERSONNALISATION - SUPPORT,SKIN - STICKER,19666
1000014217,LIBRAIRIE,LIVRE ENFANT - JEUNESSE,3-6 ANS,19417
1000009052,JEUX - JOUETS,POUPEE - PELUCHE,PELUCHE,19263
1000010608,TELEPHONIE - GPS,SMARTPHONE - MOBILE,SMARTPHONE,19180
1000010677,TELEPHONIE - GPS,ACCESSOIRE TELEPHONE,PIECE DETACHEE TELEPHONE,19113
1000018302,MUSIQUE,CD,CD TECHNO - CD ELECTRO,19109
1000010961,TV - VIDEO - SON,CASQUE - MICROPHONE - DICTAPHONE,CASQUE - ECOUTEUR - OREILLETTE,19058
1000002361,ART DE LA TABLE - ARTICLES CULINAIRES,SERVICE PETIT DEJEUNER,BOL - MUG - MAZAGRAN,18840
1000017055,TATOUAGE - PIERCING,BIJOU PIERCING,BANANE - BARRE PLIEE,18811
1000010393,CHAUSSURES - ACCESSOIRES,CHAUSSURES DE VILLE,SANDALE - NU-PIEDS,18153
1000014238,LIBRAIRIE,POLICIER - SUSPENSE,POLICIER,17546
1000019772,TELEPHONIE - GPS,ACCESSOIRE TELEPHONE,BATTERIE EXTERNE - POWER BANK POUR TELEPHONE,17166
1000006002,AUTO - MOTO,PIECES,RETROVISEURS,15977
1000002648,MEUBLE,SIEGE - ASSISE,CHAISE,15896
1000014197,LIBRAIRIE,LITTERATURE,CRITIQUE LITTERAIRE,15804
1000017303,TV - VIDEO - SON,AMPLIFICATEUR - ENCEINTES,ENCEINTE NOMADE - HAUT-PARLEUR NOMADE - ENCEINTE PORTABLE - ENCEINTE MOBILE - ENCEINTE BLUETOOTH - HAUT-PARLEUR BLUETOOTH,15727
1000005882,AUTO - MOTO,PIECES,FLEXIBLE DE FREIN - TUYAU DE FREIN - DURITE DE FREIN - DURITE AVIATION,15712
1000005850,AUTO - MOTO,PIECES,DISQUES DE FREIN,15336
1000001859,DECO - LINGE - LUMINAIRE,LUMINAIRE D'INTERIEUR,LAMPE A POSER,15149
1000008958,JEUX - JOUETS,CONSTRUCTION - MODELISME - MAQUETTE - MODELE REDUIT,OUTIL MODELISME - ACCESSOIRE MODELISME - PIECE DETACHEE MODELISME,15052
1000015763,LITERIE,ELEMENT DE LIT,MATELAS,14980
1000010551,CHAUSSURES - ACCESSOIRES,BOTTES - BOTTINES,BOTTINE - BOOTS,14404
1000011566,MATERIEL MEDICAL,BIOLOGIE,SPECTROPHOTOMETRE,14320
1000008770,JEUX - JOUETS,DEGUISEMENT - SPECTACLE,AUTRE ACCESSOIRE DEGUISEMENT VENDU SEUL,14196
1000001703,DECO - LINGE - LUMINAIRE,COUSSIN ET HOUSSE,COUSSIN,14051
1000007345,BRICOLAGE - OUTILLAGE - QUINCAILLERIE,PEINTURE - REVETEMENT MUR SOL PLAFOND,PAPIER PEINT - REVETEMENT MURAL (FIBRE DE VERRE - FRISE - REVETEMENT ADHESIF),13996
1000008856,JEUX - JOUETS,JEUX DE SOCIETE,PUZZLE,13995
1000003659,ELECTROMENAGER,PETIT APPAREIL DE CUISSON,ACCESSOIRES PETIT APPAREIL DE CUISSON - PIECES PETIT APPAREIL DE CUISSON,13744
1000014219,LIBRAIRIE,LIVRE ENFANT - JEUNESSE,6-9 ANS,13444
1000001863,DECO - LINGE - LUMINAIRE,LUMINAIRE D'INTERIEUR,LUSTRE - SUSPENSION,13256
1000005326,AUTO - MOTO,PORTAGE - REMORQUAGE,ATTELAGE,13204
1000010547,CHAUSSURES - ACCESSOIRES,BOTTES - BOTTINES,BOTTE,13085
1000008780,JEUX - JOUETS,DEGUISEMENT - SPECTACLE,CHAPEAU - PERRUQUE - COUVRE CHEF - ACCESSOIRE DE TETE,12830
1000010086,BAGAGERIE,PETITE MAROQUINERIE,PORTEFEUILLE,12760
1000015706,DECO - LINGE - LUMINAIRE,DECORATION MURALE - TABLEAU - CADRE PHOTO - STICKER,OBJET DE DECORATION MURALE,12539
1000010053,BAGAGERIE,MAROQUINERIE,POCHETTE A MAIN,12512
1000005732,AUTO - MOTO,PIECES,BATTERIE VEHICULE,12310
1000005796,AUTO - MOTO,PIECES,CARBURATEUR,12208
1000013776,INSTRUMENTS DE MUSIQUE,MATERIEL DE JEU,PARTITION,12072
1000002472,ART DE LA TABLE - ARTICLES CULINAIRES,USTENSILES PATISSERIE,MOULE A GATEAU - MOULE DE PATISSERIE,12013
1000014053,LIBRAIRIE,BANDE DESSINEE - MANGA - HUMOUR,MANGA,11908
1000016738,HYGIENE - BEAUTE - PARFUM,ONGLERIE,VERNIS A ONGLES,11542
1000006064,BRICOLAGE - OUTILLAGE - QUINCAILLERIE,MACHINE OUTIL,ACCESSOIRE MACHINE OUTIL - CONSOMMABLE MACHINE OUTIL,11491
1000004019,INFORMATIQUE,CONNECTIQUE - ALIMENTATION,CABLE - CONNECTIQUE POUR PERIPHERIQUE,11388
1000005722,AUTO - MOTO,PIECES,BAGUE D'ETANCHEITE - JOINT SPI - JOINT SPY - JOINT TORIQUE,11387
1000010681,TELEPHONIE - GPS,ACCESSOIRE TELEPHONE,STICKER TELEPHONE - SKIN TELEPHONE,11356
1000001784,DECO - LINGE - LUMINAIRE,RIDEAU - STORE - ACCESSOIRE,RIDEAU - DOUBLE RIDEAUX,11344
1000009054,JEUX - JOUETS,POUPEE - PELUCHE,POUPEE,11304
1000011397,INFORMATIQUE,STOCKAGE EXTERNE,CARTE MEMOIRE - MEMOIRE FLASH,11132
1000014281,LIBRAIRIE,SCIENCES HUMAINES,PHILOSOPHIE ,11068
1000010379,CHAUSSURES - ACCESSOIRES,CHAUSSURES DE VILLE,ESCARPIN,11052
1000011401,INFORMATIQUE,STOCKAGE EXTERNE,CLE USB,11048
1000010029,BAGAGERIE,BUSINESS,HOUSSE D'ORDINATEUR - SKIN D'ORDINATEUR,11036
1000010116,BIJOUX -  LUNETTES - MONTRES,BIJOUX,CHAINE DE COU VENDUE SEULE,11018
1000010904,TV - VIDEO - SON,ACCESSOIRES TV - VIDEO - SON,BATTERIE - CHARGEUR TV - VIDEO - SON,10884
1000007138,SPORT,TEXTILE TECHNIQUE,SURVETEMENT - JOGGING DE SPORT - TECHNIQUE,10796
1000013017,DECO - LINGE - LUMINAIRE,OBJET DE DECORATION - BIBELOT,OBJET DECORATIF,10723
1000014008,LIBRAIRIE,ACTUALITE - POLITIQUE - SOCIETE,ACTUALITES MEDIATIQUES,10715
